xcentre,ycentre,zcentre,cut,zmin,oretype_pnd,meses,cus,mot,zmint,oretypet,dens,CAT,CATN,FASE
4060,9510,2592.5,0.988125,8,45,sept-14,0.076875,0.0111,SSF,SCHAL,2.6,MED,1,34
4080,9510,2592.5,0.7,7,45,sept-14,0.05,0.0126,SSD,SCHAL,2.6,MED,1,19
3920,9550,2592.5,0.484375,61,45,sept-14,0.021875,0.0094,CPY,SCHAL,2.6,MED,1,34
3960,9530,2577.5,1.1,8,45,oct-14,0.07,0.0549,SSF,SCHAL,2.6,MED,1,19
3940,9550,2577.5,1.09041667,8,45,oct-14,0.06770833,0.0315,SSF,SCHAL,2.6,MED,1,19
3960,9550,2577.5,1.05,8,45,oct-14,0.07,0.0367,SSF,SCHAL,2.6,MED,1,19
3940,9530,2592.5,1.11,8,45,sept-14,0.05,0.0247,SSF,SCHAL,2.6,MED,1,34
3960,9530,2592.5,1.29,8,45,sept-14,0.06,0.0404,SSF,SCHAL,2.6,MED,1,42
3940,9550,2592.5,1.0875,8,45,sept-14,0.05916667,0.015,SSF,SCHAL,2.6,MED,1,42
3960,9550,2592.5,1.01,8,45,sept-14,0.06,0.0343,SSF,SCHAL,2.6,MED,1,42
3980,9530,2577.5,1.19,8,45,oct-14,0.09,0.0517,SSF,SCHAL,2.6,MED,1,34
4000,9530,2577.5,1.23,8,45,oct-14,0.09,0.0252,SSF,SCHAL,2.6,MED,1,34
3980,9550,2577.5,1.11,8,45,oct-14,0.08,0.049,SSF,SCHAL,2.6,MED,1,34
4000,9550,2577.5,1.17,8,45,oct-14,0.09,0.0226,SSF,SCHAL,2.6,MED,1,34
3980,9530,2592.5,1.2,8,45,sept-14,0.08,0.0442,SSF,SCHAL,2.6,INF,3,19N
4000,9530,2592.5,1.15,8,45,sept-14,0.08,0.0284,SSF,SCHAL,2.6,MED,1,19
3980,9550,2592.5,0.97,8,45,sept-14,0.07,0.0418,SSF,SCHAL,2.6,MED,1,34
4000,9550,2592.5,0.9,8,45,sept-14,0.07,0.0268,SSF,SCHAL,2.6,INF,3,19N
4020,9530,2577.5,1.29,8,45,oct-14,0.1,0.0262,SSF,SCHAL,2.6,IND,2,19N
4040,9530,2577.5,1.38,8,45,oct-14,0.1,0.0267,SSF,SCHAL,2.6,MED,1,19
4020,9550,2577.5,1.17,8,45,oct-14,0.09,0.0247,SSF,SCHAL,2.6,MED,1,19
4020,9530,2592.5,0.97,8,45,sept-14,0.08,0.022,SSF,SCHAL,2.6,MED,1,19
4040,9530,2592.5,0.96,8,45,sept-14,0.08,0.0177,SSF,SCHAL,2.6,IND,2,19N
4020,9550,2592.5,0.85,8,45,sept-14,0.07,0.0273,SSF,SCHAL,2.6,MED,1,34
4040,9550,2592.5,0.89,8,45,sept-14,0.09,0.0135,SSF,SCHAL,2.6,IND,2,19N
4060,9530,2577.5,1.00458333,8,45,oct-14,0.07125,0.016,SSF,SCHAL,2.6,IND,2,19N
4060,9530,2592.5,0.93,8,45,sept-14,0.070625,0.0123,SSF,SCHAL,2.6,MED,1,34
4080,9530,2592.5,0.7,7,45,sept-14,0.05,0.0142,SSD,SCHAL,2.6,INF,3,19N
4060,9550,2592.5,0.74375,7,45,sept-14,0.06125,0.0206,SSD,SCHAL,2.6,IND,2,19N
4080,9550,2592.5,0.62,7,45,sept-14,0.04,0.0116,SSD,SCHAL,2.6,IND,2,19N
3920,9570,2592.5,0.51,61,45,sept-14,0.02,0.0098,CPY,SCHAL,2.6,INF,3,19N
3920,9590,2592.5,0.49,61,45,sept-14,0.02,0.0104,CPY,SCHAL,2.6,MED,1,42
3940,9570,2577.5,0.7725,8,45,oct-14,0.05375,0.0174,SSF,SCHAL,2.6,MED,1,42
3960,9570,2577.5,1,8,45,oct-14,0.07,0.0279,SSF,SCHAL,2.6,MED,1,34
3940,9590,2577.5,0.52645833,62,42,oct-14,0.03333333,0.0161,BO,SAARC,2.6,MED,1,34
3960,9590,2577.5,0.9575,8,45,oct-14,0.06583333,0.0256,SSF,SCHAL,2.6,INF,3,19N
3940,9570,2592.5,0.84333333,8,45,sept-14,0.04666667,0.0116,SSF,SCHAL,2.6,MED,1,19
3960,9570,2592.5,1.02,8,45,sept-14,0.06,0.0319,SSF,SCHAL,2.6,IND,2,19N
3940,9590,2592.5,0.61583333,61,45,sept-14,0.03083333,0.0106,CPY,SCHAL,2.6,IND,2,42
3960,9590,2592.5,0.97,8,42,sept-14,0.06,0.0231,SSF,SAARC,2.6,MED,1,34
3980,9570,2577.5,0.89,8,45,oct-14,0.06,0.0366,SSF,SCHAL,2.6,MED,1,19
4000,9570,2577.5,0.98,8,45,oct-14,0.08,0.0243,SSF,SCHAL,2.6,MED,1,19
3980,9590,2577.5,1.04,8,45,oct-14,0.07,0.0337,SSF,SCHAL,2.6,MED,1,19
4000,9590,2577.5,0.831875,8,45,oct-14,0.06020833,0.0175,SSF,SCHAL,2.6,MED,1,34
3980,9570,2592.5,1,8,45,sept-14,0.05,0.0299,SSF,SCHAL,2.6,MED,1,34
