xcentre,ycentre,zcentre,cut_gc,zmin_gc,oretype_gc,cus_gc,mot_gc
3940.00000000,9530.00000000,2592.50000000,1.07779800,-99,45,0.07887400,0.01983700
3960.00000000,9530.00000000,2592.50000000,1.17761900,-99,45,0.08505700,0.01056000
3940.00000000,9550.00000000,2592.50000000,0.99532700,-99,42,0.06952900,0.03788200
3960.00000000,9550.00000000,2592.50000000,0.87911800,-99,45,0.06470800,0.01123300
3980.00000000,9530.00000000,2577.50000000,1.17010500,-99,45,0.08456400,0.03843100
4000.00000000,9530.00000000,2577.50000000,1.00441100,-99,45,0.09536700,0.09061700
3980.00000000,9550.00000000,2577.50000000,1.14867300,-99,45,0.08476300,0.01093100
4000.00000000,9550.00000000,2577.50000000,1.06921400,-99,45,0.09861600,0.02412300
3980.00000000,9530.00000000,2592.50000000,1.47438900,-99,45,0.10930600,0.02089900
4000.00000000,9530.00000000,2592.50000000,1.25913300,-99,45,0.09354800,0.03528500
3980.00000000,9550.00000000,2592.50000000,1.08368400,-99,45,0.07451900,0.01763200
4000.00000000,9550.00000000,2592.50000000,1.29973100,-99,45,0.09364900,0.01290900
4020.00000000,9530.00000000,2577.50000000,1.27156000,-99,45,0.09879000,0.03889200
4040.00000000,9530.00000000,2577.50000000,1.02424700,-99,45,0.08325900,0.03038800
4020.00000000,9550.00000000,2577.50000000,1.02292400,-99,45,0.08568400,0.03006300
4020.00000000,9530.00000000,2592.50000000,1.10492900,-99,45,0.07550300,0.03553900
4040.00000000,9530.00000000,2592.50000000,0.80853000,-99,45,0.07997000,0.04339500
4020.00000000,9550.00000000,2592.50000000,1.33052900,-99,45,0.10459200,0.12311800
4040.00000000,9550.00000000,2592.50000000,0.96671400,-99,45,0.06585500,0.03454300
4060.00000000,9530.00000000,2577.50000000,0.34700200,-99,44,0.02551400,0.00628400
4060.00000000,9530.00000000,2592.50000000,0.57572800,-99,45,0.04838900,0.01298000
4080.00000000,9530.00000000,2592.50000000,0.71713000,-99,33,0.05202300,0.00809600
4060.00000000,9550.00000000,2592.50000000,0.59621100,-99,45,0.04035000,0.00682600
4080.00000000,9550.00000000,2592.50000000,0.41712200,-99,44,0.02485800,0.00182100
3920.00000000,9570.00000000,2592.50000000,0.83376100,-99,42,0.05471800,0.09344900
3920.00000000,9590.00000000,2592.50000000,0.39254500,-99,44,0.03466800,0.01037900
3940.00000000,9570.00000000,2577.50000000,1.00144900,-99,42,0.09341700,0.03497000
3960.00000000,9570.00000000,2577.50000000,0.83760000,-99,45,0.07560500,0.00982200
3940.00000000,9590.00000000,2577.50000000,0.82753600,-99,42,0.06963200,0.02534100
3960.00000000,9590.00000000,2577.50000000,1.00446400,-99,42,0.07339400,0.02325600
3940.00000000,9570.00000000,2592.50000000,0.97731300,-99,42,0.07299200,0.02977700
3960.00000000,9570.00000000,2592.50000000,0.88641900,-99,45,0.06392700,0.01112100
3940.00000000,9590.00000000,2592.50000000,0.75361600,-99,42,0.04467900,0.01665400
3960.00000000,9590.00000000,2592.50000000,0.90327400,-99,42,0.05238700,0.01140800
3980.00000000,9570.00000000,2577.50000000,1.03955000,-99,45,0.07632900,0.00930500
4000.00000000,9570.00000000,2577.50000000,1.07428100,-99,45,0.09713400,0.01009800
3980.00000000,9590.00000000,2577.50000000,0.47107600,-99,45,0.04033600,0.00585500
4000.00000000,9590.00000000,2577.50000000,0.75081100,-99,45,0.08129000,0.00900400
3980.00000000,9570.00000000,2592.50000000,0.94963100,-99,45,0.07940100,0.00840500
4000.00000000,9570.00000000,2592.50000000,1.06832500,-99,45,0.10535500,0.01026200
