xcentre,ycentre,zcentre,cut_gc,zmin_gc,oretype_gc,cus_gc,mot_gc
3980,9590,2577.5,0.471076,-99,45,0.040336,0.005855,
4000,9590,2577.5,0.750811,-99,45,0.08129,0.009004,
3980,9570,2592.5,0.949631,-99,45,0.079401,0.008405,
4000,9570,2592.5,1.06832,-99,45,0.105355,0.010262,
3980,9590,2592.5,0.508246,-99,45,0.040684,0.00788,
4000,9590,2592.5,0.845239,-99,45,0.073045,0.017874,
4020,9570,2577.5,1.2584,-99,45,0.134427,0.012374,
4020,9570,2592.5,1.15671,-99,45,0.094046,0.046255,
4040,9570,2592.5,0.745854,-99,45,0.052236,0.024743,
4020,9590,2592.5,1.32365,-99,45,0.095767,0.134795,
4040,9590,2592.5,0.583725,-99,45,0.037571,0.027181,
4060,9570,2592.5,0.636964,-99,45,0.037149,0.003742,
4080,9570,2592.5,0.686842,-99,45,0.048369,0.002093,
4060,9590,2592.5,0.626585,-99,45,0.038301,0.004915,
3940,9610,2577.5,0.833144,-99,42,0.07725,0.082183,
3960,9610,2577.5,0.929435,-99,42,0.075651,0.028816,
3960,9630,2577.5,0.584661,-99,42,0.063679,0.069346,
3940,9610,2592.5,0.867247,-99,42,0.058422,0.018021,
3960,9610,2592.5,0.941563,-99,42,0.072193,0.024983,
3960,9630,2592.5,0.761486,-99,42,0.047242,0.034757,
3980,9610,2577.5,0.598778,-99,45,0.053521,0.013057,
4000,9610,2577.5,0.588848,-99,45,0.057912,0.006411,
3980,9630,2577.5,0.570176,-99,45,0.049748,0.019313,
4000,9630,2577.5,0.55793,-99,45,0.053899,0.012305,
3980,9610,2592.5,0.586155,-99,45,0.048129,0.006906,
4000,9610,2592.5,0.597807,-99,45,0.046611,0.010826,
3980,9630,2592.5,0.674538,-99,45,0.050257,0.018397,
4000,9630,2592.5,0.476136,-99,45,0.034219,0.010393,
4020,9610,2592.5,1.2415,-99,45,0.077628,0.05529,
4040,9610,2592.5,0.459352,-99,45,0.025456,0.003092,
3960,9650,2592.5,0.629246,-99,45,0.041075,0.020367,
3980,9650,2577.5,0.580951,-99,45,0.043912,0.021544,
3980,9650,2592.5,0.654933,-99,45,0.041088,0.022327,
4000,9650,2592.5,0.441277,-99,44,0.039844,0.019489,
3980,9670,2592.5,0.667231,-99,45,0.049001,0.014134,
4060,9350,2622.5,0.605505,8,45,0.043104,0.009966,
4080,9350,2622.5,0.494488,6,45,0.032336,0.01294,
4100,9350,2607.5,0.334235,8,43,0.063242,0.020377,
4120,9350,2607.5,0.388722,7,44,0.031741,0.017842,
4100,9330,2622.5,0.472239,6,45,0.030345,0.011383,
4120,9330,2622.5,0.517362,7,45,0.038405,0.015361,
4100,9350,2622.5,0.555328,6,45,0.041959,0.01365,
4120,9350,2622.5,0.546163,7,45,0.029104,0.026502,
4160,9330,2607.5,0.512363,6,45,0.016615,0.056937,
4140,9350,2607.5,0.550672,8,45,0.034901,0.024691,
4160,9350,2607.5,0.665806,6,45,0.033163,0.030588,
4140,9330,2622.5,0.475227,6,45,0.043607,0.017977,
4160,9330,2622.5,0.469877,6,45,0.025178,0.032677,
