xcentre,ycentre,zcentre,cut_gc,zmin_gc,oretype_gc,cus_gc,mot_gc
4020,9570,2592.500000,1.156714,-99,45,0.094046,462,
4040,9570,2592.500000,0.745854,-99,45,0.052236,247,
4020,9590,2592.500000,1.323647,-99,45,0.095767,1347,
4040,9590,2592.500000,0.583725,-99,45,0.037571,271,
4060,9570,2592.500000,0.636964,-99,45,0.037149,37,
4080,9570,2592.500000,0.686842,-99,45,0.048369,20,
4060,9590,2592.500000,0.626585,-99,45,0.038301,49,
3940,9610,2577.500000,0.833144,-99,42,0.077250,821,
3960,9610,2577.500000,0.929435,-99,42,0.075651,288,
3960,9630,2577.500000,0.584661,-99,42,0.063679,693,
3940,9610,2592.500000,0.867247,-99,42,0.058422,180,
3960,9610,2592.500000,0.941563,-99,42,0.072193,249,
3960,9630,2592.500000,0.761486,-99,42,0.047242,347,
3980,9610,2577.500000,0.598778,-99,45,0.053521,130,
4000,9610,2577.500000,0.588848,-99,45,0.057912,64,
3980,9630,2577.500000,0.570176,-99,45,0.049748,193,
4000,9630,2577.500000,0.557930,-99,45,0.053899,123,
3980,9610,2592.500000,0.586155,-99,45,0.048129,69,
4000,9610,2592.500000,0.597807,-99,45,0.046611,108,
3980,9630,2592.500000,0.674538,-99,45,0.050257,183,
4000,9630,2592.500000,0.476136,-99,45,0.034219,103,
4020,9610,2592.500000,1.241503,-99,45,0.077628,552,
4040,9610,2592.500000,0.459352,-99,45,0.025456,30,
3960,9650,2592.500000,0.629246,-99,45,0.041075,203,
3980,9650,2577.500000,0.580951,-99,45,0.043912,215,
3980,9650,2592.500000,0.654933,-99,45,0.041088,223,
4000,9650,2592.500000,0.441277,-99,44,0.039844,194,
3980,9670,2592.500000,0.667231,-99,45,0.049001,141,
4060,9350,2622.500000,0.605505,8,45,0.043104,99,
4080,9350,2622.500000,0.494488,6,45,0.032336,129,
4100,9350,2607.500000,0.334235,8,43,0.063242,203,
4120,9350,2607.500000,0.388722,7,44,0.031741,178,
4100,9330,2622.500000,0.472239,6,45,0.030345,113,
4120,9330,2622.500000,0.517362,7,45,0.038405,153,
4100,9350,2622.500000,0.555328,6,45,0.041959,136,
4120,9350,2622.500000,0.546163,7,45,0.029104,265,
4160,9330,2607.500000,0.512363,6,45,0.016615,569,
4140,9350,2607.500000,0.550672,8,45,0.034901,246,
4160,9350,2607.500000,0.665806,6,45,0.033163,305,
4140,9330,2622.500000,0.475227,6,45,0.043607,179,
4160,9330,2622.500000,0.469877,6,45,0.025178,326,
4140,9350,2622.500000,0.537142,7,45,0.031412,224,
4160,9350,2622.500000,0.547067,7,45,0.036119,107,
4180,9330,2607.500000,0.276212,6,41,0.009790,73,
4180,9350,2607.500000,0.310108,6,44,0.013019,38,
4180,9330,2622.500000,0.331489,6,44,0.019351,92,
4200,9330,2622.500000,0.281586,6,41,0.021519,28,
4180,9350,2622.500000,0.556333,6,45,0.038668,72,
4200,9350,2622.500000,0.339252,6,44,0.016722,22,
4040,9390,2622.500000,1.129936,8,45,0.094499,319,
4080,9370,2607.500000,0.406601,7,44,0.028057,162,
4060,9390,2607.500000,0.743911,8,45,0.067031,135,
4080,9390,2607.500000,0.440584,7,44,0.034215,119,
4060,9370,2622.500000,0.536373,8,45,0.042854,73,
4080,9370,2622.500000,0.498217,6,45,0.035142,83,
4060,9390,2622.500000,0.906530,8,45,0.082441,164,
4080,9390,2622.500000,0.550624,7,45,0.044503,127,
4100,9370,2607.500000,0.396254,7,44,0.027358,82,
4120,9370,2607.500000,0.401883,7,44,0.031877,256,
4100,9390,2607.500000,0.480592,7,45,0.045080,110,
4120,9390,2607.500000,0.420392,6,44,0.035739,350,
4100,9370,2622.500000,0.431433,6,44,0.028467,126,
4120,9370,2622.500000,0.482976,6,45,0.047060,171,
4100,9390,2622.500000,0.482705,6,45,0.034054,130,
4120,9390,2622.500000,0.460242,6,43,0.066607,94,
4140,9370,2607.500000,0.504322,7,45,0.045813,136,
4160,9370,2607.500000,0.865165,2,33,0.168567,408,
4140,9390,2607.500000,0.564887,6,45,0.040702,95,
