xcentre,ycentre,zcentre,mot_gc,zmin_gc,zmint,oretype_gc,cut_gc,dens,cus_gc,oretypet
4000,9550,2577.500000,241,-99,NULL,45,1.069214,2.600000,0.098616,SCHAL,
3980,9530,2592.500000,208,-99,NULL,45,1.474389,2.600000,0.109306,SCHAL,
4000,9530,2592.500000,352,-99,NULL,45,1.259133,2.600000,0.093548,SCHAL,
3980,9550,2592.500000,176,-99,NULL,45,1.083684,2.600000,0.074519,SCHAL,
4000,9550,2592.500000,129,-99,NULL,45,1.299731,2.600000,0.093649,SCHAL,
4020,9530,2577.500000,388,-99,NULL,45,1.271560,2.600000,0.098790,SCHAL,
4040,9530,2577.500000,303,-99,NULL,45,1.024247,2.600000,0.083259,SCHAL,
4020,9550,2577.500000,300,-99,NULL,45,1.022924,2.600000,0.085684,SCHAL,
4020,9530,2592.500000,355,-99,NULL,45,1.104929,2.600000,0.075503,SCHAL,
4040,9530,2592.500000,433,-99,NULL,45,0.808530,2.600000,0.079970,SCHAL,
4020,9550,2592.500000,1231,-99,NULL,45,1.330529,2.600000,0.104592,SCHAL,
4040,9550,2592.500000,345,-99,NULL,45,0.966714,2.600000,0.065855,SCHAL,
4060,9530,2577.500000,62,-99,NULL,44,0.347002,2.600000,0.025514,SCHBL,
4060,9530,2592.500000,129,-99,NULL,45,0.575728,2.600000,0.048389,SCHAL,
4080,9530,2592.500000,80,-99,NULL,33,0.717130,2.600000,0.052023,MXAL,
4060,9550,2592.500000,68,-99,NULL,45,0.596211,2.600000,0.040350,SCHAL,
4080,9550,2592.500000,18,-99,NULL,44,0.417122,2.600000,0.024858,SCHBL,
3920,9570,2592.500000,934,-99,NULL,42,0.833761,2.600000,0.054718,SAARC,
3920,9590,2592.500000,103,-99,NULL,44,0.392545,2.600000,0.034668,SCHBL,
3940,9570,2577.500000,349,-99,NULL,42,1.001449,2.600000,0.093417,SAARC,
3960,9570,2577.500000,98,-99,NULL,45,0.837600,2.600000,0.075605,SCHAL,
3940,9590,2577.500000,253,-99,NULL,42,0.827536,2.600000,0.069632,SAARC,
3960,9590,2577.500000,232,-99,NULL,42,1.004464,2.600000,0.073394,SAARC,
3940,9570,2592.500000,297,-99,NULL,42,0.977313,2.600000,0.072992,SAARC,
3960,9570,2592.500000,111,-99,NULL,45,0.886419,2.600000,0.063927,SCHAL,
3940,9590,2592.500000,166,-99,NULL,42,0.753616,2.600000,0.044679,SAARC,
3960,9590,2592.500000,114,-99,NULL,42,0.903274,2.600000,0.052387,SAARC,
3980,9570,2577.500000,93,-99,NULL,45,1.039550,2.600000,0.076329,SCHAL,
4000,9570,2577.500000,100,-99,NULL,45,1.074281,2.600000,0.097134,SCHAL,
3980,9590,2577.500000,58,-99,NULL,45,0.471076,2.600000,0.040336,SCHAL,
4000,9590,2577.500000,90,-99,NULL,45,0.750811,2.600000,0.081290,SCHAL,
3980,9570,2592.500000,84,-99,NULL,45,0.949631,2.600000,0.079401,SCHAL,
4000,9570,2592.500000,102,-99,NULL,45,1.068325,2.600000,0.105355,SCHAL,
3980,9590,2592.500000,78,-99,NULL,45,0.508246,2.600000,0.040684,SCHAL,
4000,9590,2592.500000,178,-99,NULL,45,0.845239,2.600000,0.073045,SCHAL,
4020,9570,2577.500000,123,-99,NULL,45,1.258403,2.600000,0.134427,SCHAL,
4020,9570,2592.500000,462,-99,NULL,45,1.156714,2.600000,0.094046,SCHAL,
4040,9570,2592.500000,247,-99,NULL,45,0.745854,2.600000,0.052236,SCHAL,
4020,9590,2592.500000,1347,-99,NULL,45,1.323647,2.600000,0.095767,SCHAL,
4040,9590,2592.500000,271,-99,NULL,45,0.583725,2.600000,0.037571,SCHAL,
4060,9570,2592.500000,37,-99,NULL,45,0.636964,2.600000,0.037149,SCHAL,
4080,9570,2592.500000,20,-99,NULL,45,0.686842,2.600000,0.048369,SCHAL,
4060,9590,2592.500000,49,-99,NULL,45,0.626585,2.600000,0.038301,SCHAL,
3940,9610,2577.500000,821,-99,NULL,42,0.833144,2.600000,0.077250,SAARC,
3960,9610,2577.500000,288,-99,NULL,42,0.929435,2.600000,0.075651,SAARC,
3960,9630,2577.500000,693,-99,NULL,42,0.584661,2.600000,0.063679,SAARC,
3940,9610,2592.500000,180,-99,NULL,42,0.867247,2.600000,0.058422,SAARC,
3960,9610,2592.500000,249,-99,NULL,42,0.941563,2.600000,0.072193,SAARC,
3960,9630,2592.500000,347,-99,NULL,42,0.761486,2.600000,0.047242,SAARC,
3980,9610,2577.500000,130,-99,NULL,45,0.598778,2.600000,0.053521,SCHAL,
4000,9610,2577.500000,64,-99,NULL,45,0.588848,2.600000,0.057912,SCHAL,
3980,9630,2577.500000,193,-99,NULL,45,0.570176,2.600000,0.049748,SCHAL,
4000,9630,2577.500000,123,-99,NULL,45,0.557930,2.600000,0.053899,SCHAL,
3980,9610,2592.500000,69,-99,NULL,45,0.586155,2.600000,0.048129,SCHAL,
4000,9610,2592.500000,108,-99,NULL,45,0.597807,2.600000,0.046611,SCHAL,
3980,9630,2592.500000,183,-99,NULL,45,0.674538,2.600000,0.050257,SCHAL,
4000,9630,2592.500000,103,-99,NULL,45,0.476136,2.600000,0.034219,SCHAL,
4020,9610,2592.500000,552,-99,NULL,45,1.241503,2.600000,0.077628,SCHAL,
4040,9610,2592.500000,30,-99,NULL,45,0.459352,2.600000,0.025456,SCHAL,
3960,9650,2592.500000,203,-99,NULL,45,0.629246,2.600000,0.041075,SCHAL,
3980,9650,2577.500000,215,-99,NULL,45,0.580951,2.600000,0.043912,SCHAL,
3980,9650,2592.500000,223,-99,NULL,45,0.654933,2.600000,0.041088,SCHAL,
4000,9650,2592.500000,194,-99,NULL,44,0.441277,2.600000,0.039844,SCHBL,
3980,9670,2592.500000,141,-99,NULL,45,0.667231,2.600000,0.049001,SCHAL,
4060,9350,2622.500000,99,8,SSF,45,0.605505,2.600000,0.043104,SCHAL,
4080,9350,2622.500000,129,6,SCHAL,5,0.494488,2.600000,0.032336,SCHAL,
4100,9350,2607.500000,203,8,SSF,43,0.334235,2.600000,0.063242,SASOL,
4120,9350,2607.500000,178,7,SSD,44,0.388722,2.600000,0.031741,SCHBL,
4100,9330,2622.500000,113,6,SCHBL,5,0.472239,2.600000,0.030345,SCHAL,
4120,9330,2622.500000,153,7,SSD,45,0.517362,2.600000,0.038405,SCHAL,
4100,9350,2622.500000,136,6,SCHAL,5,0.555328,2.600000,0.041959,SCHAL,
4120,9350,2622.500000,265,7,SSD,45,0.546163,2.600000,0.029104,SCHAL,
4160,9330,2607.500000,569,6,SCHAL,5,0.512363,2.600000,0.016615,SCHAL,
4140,9350,2607.500000,246,8,SSF,45,0.550672,2.600000,0.034901,SCHAL,
4160,9350,2607.500000,305,6,SCHAL,5,0.665806,2.600000,0.033163,SCHAL,
4140,9330,2622.500000,179,6,SCHAL,5,0.475227,2.600000,0.043607,SCHAL,
4160,9330,2622.500000,326,6,SCHAL,5,0.469877,2.600000,0.025178,SCHAL,
4140,9350,2622.500000,224,7,SSD,45,0.537142,2.600000,0.031412,SCHAL,
4160,9350,2622.500000,107,7,SSD,45,0.547067,2.600000,0.036119,SCHAL,
4180,9330,2607.500000,73,6,SCHAL,1,0.276212,2.600000,0.009790,SBL,
4180,9350,2607.500000,38,6,SBL,4,0.310108,2.600000,0.013019,SCHBL,
4180,9330,2622.500000,92,6,SCHBL,4,0.331489,2.600000,0.019351,SCHBL,
4200,9330,2622.500000,28,6,SCHBL,1,0.281586,2.600000,0.021519,SBL,
4180,9350,2622.500000,72,6,SBL,5,0.556333,2.600000,0.038668,SCHAL,
4200,9350,2622.500000,22,6,SCHAL,4,0.339252,2.600000,0.016722,SCHBL,
4040,9390,2622.500000,319,8,SSF,45,1.129936,2.600000,0.094499,SCHAL,
4080,9370,2607.500000,162,7,SSD,44,0.406601,2.600000,0.028057,SCHBL,
4060,9390,2607.500000,135,8,SSF,45,0.743911,2.600000,0.067031,SCHAL,
4080,9390,2607.500000,119,7,SSD,44,0.440584,2.600000,0.034215,SCHBL,
4060,9370,2622.500000,73,8,SSF,45,0.536373,2.600000,0.042854,SCHAL,
4080,9370,2622.500000,83,6,SCHAL,5,0.498217,2.600000,0.035142,SCHAL,
4060,9390,2622.500000,164,8,SSF,45,0.906530,2.600000,0.082441,SCHAL,
4080,9390,2622.500000,127,7,SSD,45,0.550624,2.600000,0.044503,SCHAL,
4100,9370,2607.500000,82,7,SSD,44,0.396254,2.600000,0.027358,SCHBL,
4120,9370,2607.500000,256,7,SSD,44,0.401883,2.600000,0.031877,SCHBL,
4100,9390,2607.500000,110,7,SSD,45,0.480592,2.600000,0.045080,SCHAL,
4120,9390,2607.500000,350,6,SCHAL,4,0.420392,2.600000,0.035739,SCHBL,
4100,9370,2622.500000,126,6,SCHBL,4,0.431433,2.600000,0.028467,SCHBL,
4120,9370,2622.500000,171,6,SCHBL,5,0.482976,2.600000,0.047060,SCHAL,
4100,9390,2622.500000,130,6,SCHAL,5,0.482705,2.600000,0.034054,SCHAL,
4120,9390,2622.500000,94,6,SCHAL,3,0.460242,2.600000,0.066607,SASOL,
4140,9370,2607.500000,136,7,SSD,45,0.504322,2.600000,0.045813,SCHAL,
4160,9370,2607.500000,408,2,MIX,33,0.865165,2.600000,0.168567,MXAL,
4140,9390,2607.500000,95,6,MXAL,5,0.564887,2.600000,0.040702,SCHAL,
4160,9390,2607.500000,121,6,SCHAL,3,0.877518,2.600000,0.148977,SASOL,
4140,9370,2622.500000,112,7,SSD,43,0.478660,2.600000,0.078955,SASOL,
4160,9370,2622.500000,148,7,SSD,43,0.676109,2.600000,0.096732,SASOL,
4140,9390,2622.500000,62,7,SSD,43,0.390150,2.600000,0.140152,SASOL,
4160,9390,2622.500000,120,7,SSD,43,0.739218,2.600000,0.118300,SASOL,
4180,9370,2607.500000,181,2,MIX,33,0.561216,2.600000,0.107991,MXAL,
4180,9390,2607.500000,279,2,MIX,33,1.338788,2.600000,0.188482,MXAL,
4180,9370,2622.500000,307,6,MXAL,3,0.759081,2.600000,0.144946,SASOL,
4200,9370,2622.500000,178,6,SASOL,4,0.382492,2.600000,0.033556,SCHBL,
4180,9390,2622.500000,192,2,MIX,33,0.857448,2.600000,0.122872,MXAL,
4000,9410,2622.500000,237,-99,NULL,45,1.103449,2.600000,0.104517,SCHAL,
3980,9430,2622.500000,346,-99,NULL,42,1.464803,2.600000,0.139622,SAARC,
4000,9430,2622.500000,457,-99,NULL,42,1.176818,2.600000,0.110619,SAARC,
4040,9430,2607.500000,205,8,SSF,45,1.751883,2.600000,0.135127,SCHAL,
4040,9410,2622.500000,435,8,SSF,45,1.128122,2.600000,0.093075,SCHAL,
4020,9430,2622.500000,239,8,SSF,45,1.035658,2.600000,0.089741,SCHAL,
4040,9430,2622.500000,281,8,SSF,45,1.133761,2.600000,0.106415,SCHAL,
4060,9410,2607.500000,232,8,SSF,43,1.162454,2.600000,0.141831,SASOL,
4080,9410,2607.500000,145,7,SSD,45,0.663792,2.600000,0.065692,SCHAL,
4060,9430,2607.500000,81,8,SSF,45,0.959258,2.600000,0.082043,SCHAL,
4080,9430,2607.500000,143,8,SSF,45,0.912047,2.600000,0.084869,SCHAL,
4060,9410,2622.500000,232,8,SSF,45,1.003686,2.600000,0.117600,SCHAL,
4080,9410,2622.500000,162,7,SSD,45,0.626475,2.600000,0.065137,SCHAL,
4060,9430,2622.500000,185,8,SSF,45,1.099463,2.600000,0.093544,SCHAL,
4080,9430,2622.500000,141,8,SSF,45,0.714391,2.600000,0.080783,SCHAL,
4100,9410,2607.500000,85,2,MIX,32,0.303410,2.600000,0.044815,MXML,
4120,9410,2607.500000,110,2,MIX,33,0.412128,2.600000,0.044200,MXAL,
4100,9430,2607.500000,158,7,SSD,45,0.622396,2.600000,0.073667,SCHAL,
4120,9430,2607.500000,130,7,SSD,44,0.391677,2.600000,0.041951,SCHBL,
4100,9410,2622.500000,141,7,SSD,45,0.480991,2.600000,0.033443,SCHAL,
4120,9410,2622.500000,184,6,SCHAL,3,0.410216,2.600000,0.095035,SASOL,
4100,9430,2622.500000,129,7,SSD,45,0.624889,2.600000,0.050200,SCHAL,
4120,9430,2622.500000,79,6,SCHAL,4,0.374407,2.600000,0.033740,SCHBL,
4140,9410,2607.500000,279,6,SCHBL,5,0.556731,2.600000,0.066756,SCHAL,
4160,9410,2607.500000,126,6,SCHAL,5,0.511952,2.600000,0.045337,SCHAL,
4140,9430,2607.500000,73,7,SSD,45,0.582990,2.600000,0.052262,SCHAL,
4160,9430,2607.500000,157,8,SSF,45,0.483935,2.600000,0.033369,SCHAL,
4140,9410,2622.500000,114,6,SCHAL,3,0.462476,2.600000,0.066736,SASOL,
4160,9410,2622.500000,44,6,SASOL,5,0.498554,2.600000,0.053821,SCHAL,
4140,9430,2622.500000,90,8,SSF,43,0.679791,2.600000,0.097148,SASOL,
4160,9430,2622.500000,89,8,SSF,45,0.597578,2.600000,0.055447,SCHAL,
4180,9410,2622.500000,78,6,SCHAL,5,0.541912,2.600000,0.057671,SCHAL,
4180,9430,2622.500000,103,7,SSD,45,0.692883,2.600000,0.044092,SCHAL,
3920,9470,2622.500000,214,-99,NULL,45,1.764656,2.600000,0.099049,SCHAL,
3960,9450,2607.500000,586,-99,NULL,45,1.041046,2.600000,0.103076,SCHAL,
3940,9470,2607.500000,222,-99,NULL,45,1.680599,2.600000,0.111210,SCHAL,
3960,9470,2607.500000,554,-99,NULL,45,1.641552,2.600000,0.106019,SCHAL,
3940,9450,2622.500000,388,-99,NULL,45,1.597518,2.600000,0.092424,SCHAL,
3960,9450,2622.500000,411,-99,NULL,42,1.586508,2.600000,0.108510,SAARC,
3940,9470,2622.500000,345,-99,NULL,45,1.595673,2.600000,0.099032,SCHAL,
3960,9470,2622.500000,266,-99,NULL,45,1.339835,2.600000,0.096319,SCHAL,
3980,9450,2607.500000,406,-99,NULL,45,1.035480,2.600000,0.116467,SCHAL,
4000,9450,2607.500000,237,-99,NULL,45,1.152167,2.600000,0.132123,SCHAL,
3980,9470,2607.500000,427,-99,NULL,45,1.253481,2.600000,0.098642,SCHAL,
4000,9470,2607.500000,345,-99,NULL,45,1.125023,2.600000,0.086384,SCHAL,
3980,9450,2622.500000,398,-99,NULL,42,1.650788,2.600000,0.142748,SAARC,
4000,9450,2622.500000,425,-99,NULL,42,1.562198,2.600000,0.161585,SAARC,
3980,9470,2622.500000,458,-99,NULL,45,1.242286,2.600000,0.105344,SCHAL,
4000,9470,2622.500000,516,-99,NULL,45,1.136911,2.600000,0.124292,SCHAL,
4020,9450,2607.500000,299,-99,NULL,45,1.001793,2.600000,0.080773,SCHAL,
4040,9450,2607.500000,306,8,SSF,45,1.703600,2.600000,0.128586,SCHAL,
4020,9470,2607.500000,248,-99,NULL,33,1.029353,2.600000,0.086871,MXAL,
4040,9470,2607.500000,218,8,SSF,45,1.227375,2.600000,0.102454,SCHAL,
4020,9450,2622.500000,234,8,SSF,45,0.977325,2.600000,0.068805,SCHAL,
4040,9450,2622.500000,281,8,SSF,45,1.122314,2.600000,0.108641,SCHAL,
4020,9470,2622.500000,352,-99,NULL,45,0.724425,2.600000,0.077833,SCHAL,
4040,9470,2622.500000,181,8,SSF,45,1.167258,2.600000,0.079270,SCHAL,
4060,9450,2607.500000,95,8,SSF,45,0.899406,2.600000,0.084425,SCHAL,
4080,9450,2607.500000,208,8,SSF,45,0.819693,2.600000,0.065617,SCHAL,
4060,9470,2607.500000,116,8,SSF,45,1.103755,2.600000,0.106219,SCHAL,
4080,9470,2607.500000,162,100,NULL,45,1.240745,2.600000,0.102835,SCHAL,
4060,9450,2622.500000,189,8,SSF,45,1.243500,2.600000,0.121732,SCHAL,
4080,9450,2622.500000,117,8,SSF,45,0.621152,2.600000,0.053410,SCHAL,
4060,9470,2622.500000,210,8,SSF,45,1.509258,2.600000,0.130094,SCHAL,
4080,9470,2622.500000,111,8,SSF,45,0.793609,2.600000,0.065865,SCHAL,
4100,9450,2607.500000,188,7,SSD,45,0.579637,2.600000,0.039933,SCHAL,
4120,9450,2607.500000,68,7,SSD,45,0.734929,2.600000,0.052008,SCHAL,
4100,9470,2607.500000,46,7,SSD,45,0.645010,2.600000,0.054260,SCHAL,
4120,9470,2607.500000,53,7,SSD,45,0.582219,2.600000,0.045377,SCHAL,
4100,9450,2622.500000,79,100,NULL,45,0.590646,2.600000,0.052579,SCHAL,
4120,9450,2622.500000,82,8,SSF,44,0.445554,2.600000,0.049972,SCHBL,
4100,9470,2622.500000,146,100,NULL,45,0.558986,2.600000,0.045652,SCHAL,
4120,9470,2622.500000,209,7,SSD,45,0.661740,2.600000,0.048614,SCHAL,
4140,9450,2607.500000,95,7,SSD,45,0.558281,2.600000,0.045012,SCHAL,
4160,9450,2607.500000,67,7,SSD,45,0.488921,2.600000,0.033220,SCHAL,
4140,9470,2607.500000,67,7,SSD,44,0.443456,2.600000,0.032071,SCHBL,
4140,9450,2622.500000,190,8,SSF,45,0.495022,2.600000,0.031320,SCHAL,
4160,9450,2622.500000,65,8,SSF,45,0.750690,2.600000,0.073713,SCHAL,
4140,9470,2622.500000,189,7,SSD,44,0.380490,2.600000,0.024557,SCHBL,
4160,9470,2622.500000,38,8,SSF,45,0.517813,2.600000,0.045868,SCHAL,
3920,9510,2607.500000,149,-99,NULL,42,1.163878,2.600000,0.065078,SAARC,
3900,9490,2622.500000,393,-99,NULL,42,1.318408,2.600000,0.120634,SAARC,
3920,9490,2622.500000,161,-99,NULL,45,1.472858,2.600000,0.087280,SCHAL,
3900,9510,2622.500000,151,-99,NULL,42,0.663375,2.600000,0.063672,SAARC,
3920,9510,2622.500000,106,-99,NULL,45,1.234077,2.600000,0.085208,SCHAL,
3940,9490,2607.500000,149,-99,NULL,45,1.781835,2.600000,0.082226,SCHAL,
3960,9490,2607.500000,290,-99,NULL,45,1.371754,2.600000,0.074093,SCHAL,
3940,9510,2607.500000,221,-99,NULL,45,1.645917,2.600000,0.089924,SCHAL,
3960,9510,2607.500000,221,-99,NULL,45,1.633381,2.600000,0.127904,SCHAL,
3940,9490,2622.500000,90,-99,NULL,45,1.452960,2.600000,0.105973,SCHAL,
3960,9490,2622.500000,221,-99,NULL,45,1.477617,2.600000,0.110315,SCHAL,
3940,9510,2622.500000,84,-99,NULL,45,1.434501,2.600000,0.089546,SCHAL,
3960,9510,2622.500000,173,-99,NULL,45,1.454175,2.600000,0.112440,SCHAL,
3980,9490,2607.500000,399,-99,NULL,45,1.205211,2.600000,0.073810,SCHAL,
4000,9490,2607.500000,487,-99,NULL,45,1.807945,2.600000,0.108815,SCHAL,
3980,9510,2607.500000,199,-99,NULL,45,1.143779,2.600000,0.085183,SCHAL,
4000,9510,2607.500000,539,-99,NULL,45,0.990476,2.600000,0.063006,SCHAL,
3980,9490,2622.500000,659,-99,NULL,45,0.950064,2.600000,0.072348,SCHAL,
4000,9490,2622.500000,492,-99,NULL,45,1.317307,2.600000,0.099677,SCHAL,
3980,9510,2622.500000,309,-99,NULL,45,1.303823,2.600000,0.112470,SCHAL,
