xcentre,ycentre,zcentre,mot_gc,zmin_gc,zmint,oretype_gc,cut_gc,dens,cus_gc,oretypet
3980,9530,2592.5,0.020899,-99,NULL,45,1.474389,2.6,0.109306,SCHAL
4000,9530,2592.5,0.035285,-99,NULL,45,1.259133,2.6,0.093548,SCHAL
3980,9550,2592.5,0.017632,-99,NULL,45,1.083684,2.6,0.074519,SCHAL
4000,9550,2592.5,0.012909,-99,NULL,45,1.299731,2.6,0.093649,SCHAL
4020,9530,2577.5,0.038892,-99,NULL,45,1.27156,2.6,0.09879,SCHAL
4040,9530,2577.5,0.030388,-99,NULL,45,1.024247,2.6,0.083259,SCHAL
4020,9550,2577.5,0.030063,-99,NULL,45,1.022924,2.6,0.085684,SCHAL
4020,9530,2592.5,0.035539,-99,NULL,45,1.104929,2.6,0.075503,SCHAL
4040,9530,2592.5,0.043395,-99,NULL,45,0.80853,2.6,0.07997,SCHAL
4020,9550,2592.5,0.123118,-99,NULL,45,1.330529,2.6,0.104592,SCHAL
4040,9550,2592.5,0.034543,-99,NULL,45,0.966714,2.6,0.065855,SCHAL
4060,9530,2577.5,0.006284,-99,NULL,44,0.347002,2.6,0.025514,SCHBL
4060,9530,2592.5,0.01298,-99,NULL,45,0.575728,2.6,0.048389,SCHAL
4080,9530,2592.5,0.008096,-99,NULL,33,0.71713,2.6,0.052023,MXAL
4060,9550,2592.5,0.006826,-99,NULL,45,0.596211,2.6,0.04035,SCHAL
4080,9550,2592.5,0.001821,-99,NULL,44,0.417122,2.6,0.024858,SCHBL
3920,9570,2592.5,0.093449,-99,NULL,42,0.833761,2.6,0.054718,SAARC
3920,9590,2592.5,0.010379,-99,NULL,44,0.392545,2.6,0.034668,SCHBL
3940,9570,2577.5,0.03497,-99,NULL,42,1.001449,2.6,0.093417,SAARC
3960,9570,2577.5,0.009822,-99,NULL,45,0.8376,2.6,0.075605,SCHAL
3940,9590,2577.5,0.025341,-99,NULL,42,0.827536,2.6,0.069632,SAARC
3960,9590,2577.5,0.023256,-99,NULL,42,1.004464,2.6,0.073394,SAARC
3940,9570,2592.5,0.029777,-99,NULL,42,0.977313,2.6,0.072992,SAARC
3960,9570,2592.5,0.011121,-99,NULL,45,0.886419,2.6,0.063927,SCHAL
3940,9590,2592.5,0.016654,-99,NULL,42,0.753616,2.6,0.044679,SAARC
3960,9590,2592.5,0.011408,-99,NULL,42,0.903274,2.6,0.052387,SAARC
3980,9570,2577.5,0.009305,-99,NULL,45,1.03955,2.6,0.076329,SCHAL
4000,9570,2577.5,0.010098,-99,NULL,45,1.074281,2.6,0.097134,SCHAL
3980,9590,2577.5,0.005855,-99,NULL,45,0.471076,2.6,0.040336,SCHAL
4000,9590,2577.5,0.009004,-99,NULL,45,0.750811,2.6,0.08129,SCHAL
3980,9570,2592.5,0.008405,-99,NULL,45,0.949631,2.6,0.079401,SCHAL
4000,9570,2592.5,0.010262,-99,NULL,45,1.068325,2.6,0.105355,SCHAL
3980,9590,2592.5,0.00788,-99,NULL,45,0.508246,2.6,0.040684,SCHAL
4000,9590,2592.5,0.017874,-99,NULL,45,0.845239,2.6,0.073045,SCHAL
4020,9570,2577.5,0.012374,-99,NULL,45,1.258403,2.6,0.134427,SCHAL
4020,9570,2592.5,0.046255,-99,NULL,45,1.156714,2.6,0.094046,SCHAL
4040,9570,2592.5,0.024743,-99,NULL,45,0.745854,2.6,0.052236,SCHAL
4020,9590,2592.5,0.134795,-99,NULL,45,1.323647,2.6,0.095767,SCHAL
4040,9590,2592.5,0.027181,-99,NULL,45,0.583725,2.6,0.037571,SCHAL
4060,9570,2592.5,0.003742,-99,NULL,45,0.636964,2.6,0.037149,SCHAL
4080,9570,2592.5,0.002093,-99,NULL,45,0.686842,2.6,0.048369,SCHAL
4060,9590,2592.5,0.004915,-99,NULL,45,0.626585,2.6,0.038301,SCHAL
3940,9610,2577.5,0.082183,-99,NULL,42,0.833144,2.6,0.07725,SAARC
3960,9610,2577.5,0.028816,-99,NULL,42,0.929435,2.6,0.075651,SAARC
3960,9630,2577.5,0.069346,-99,NULL,42,0.584661,2.6,0.063679,SAARC
3940,9610,2592.5,0.018021,-99,NULL,42,0.867247,2.6,0.058422,SAARC
3960,9610,2592.5,0.024983,-99,NULL,42,0.941563,2.6,0.072193,SAARC
3960,9630,2592.5,0.034757,-99,NULL,42,0.761486,2.6,0.047242,SAARC
3980,9610,2577.5,0.013057,-99,NULL,45,0.598778,2.6,0.053521,SCHAL
4000,9610,2577.5,0.006411,-99,NULL,45,0.588848,2.6,0.057912,SCHAL
3980,9630,2577.5,0.019313,-99,NULL,45,0.570176,2.6,0.049748,SCHAL
4000,9630,2577.5,0.012305,-99,NULL,45,0.55793,2.6,0.053899,SCHAL
3980,9610,2592.5,0.006906,-99,NULL,45,0.586155,2.6,0.048129,SCHAL
4000,9610,2592.5,0.010826,-99,NULL,45,0.597807,2.6,0.046611,SCHAL
3980,9630,2592.5,0.018397,-99,NULL,45,0.674538,2.6,0.050257,SCHAL
4000,9630,2592.5,0.010393,-99,NULL,45,0.476136,2.6,0.034219,SCHAL
